GRP,WBEING,HRS,LEAD
27.0,1.5555555556,10.0,2.8181818182
27.0,1.5,12.0,1.6666666667
27.0,2.0555555556,10.0,2.7272727273
27.0,2.1666666667,9.0,3.0
27.0,4.1111111111,10.0,3.1666666667
27.0,2.1666666667,12.0,3.0909090909
27.0,2.0,14.0,1.9090909091
27.0,2.0555555556,12.0,2.0909090909
27.0,3.6111111111,10.0,2.9090909091
27.0,3.6111111111,12.0,2.4545454545
27.0,3.8888888889,9.0,3.7272727273
27.0,1.0555555556,10.0,2.8181818182
27.0,2.7222222222,12.0,2.1818181818
27.0,2.1666666667,9.0,3.9090909091
27.0,2.0,12.0,2.7272727273
27.0,3.2222222222,12.0,2.0
27.0,1.8888888889,10.0,2.7272727273
27.0,3.3333333333,10.0,2.6666666667
27.0,2.8888888889,11.0,2.9090909091
27.0,2.1111111111,11.0,2.0
27.0,1.1666666667,9.0,2.6363636364
27.0,3.5,11.0,2.5454545455
27.0,2.7777777778,12.0,3.4
27.0,2.7222222222,9.0,2.2727272727
27.0,3.2222222222,12.0,3.1818181818
27.0,1.6666666667,6.0,2.7272727273
27.0,1.7777777778,12.0,3.5454545455
27.0,3.7777777778,12.0,3.7272727273
27.0,3.2222222222,10.0,2.1818181818
27.0,2.6666666667,8.0,2.1818181818
27.0,2.3888888889,16.0,2.1818181818
27.0,3.0,12.0,3.2727272727
27.0,3.8333333333,9.0,3.9090909091
27.0,3.7222222222,8.0,3.6363636364
27.0,2.3888888889,10.0,2.0909090909
27.0,1.8333333333,12.0,2.6363636364
27.0,3.2777777778,9.0,3.0909090909
27.0,2.3888888889,12.0,3.0
27.0,3.4444444444,9.0,2.5454545455
27.0,4.2777777778,8.0,2.1111111111
27.0,2.4444444444,8.0,3.1818181818
27.0,2.3888888889,11.0,3.1666666667
27.0,2.3333333333,8.0,3.0909090909
27.0,3.4444444444,8.0,3.2727272727
27.0,2.6111111111,8.0,3.4545454545
27.0,4.6666666667,8.0,3.9090909091
27.0,3.1111111111,8.0,3.0909090909
27.0,3.4444444444,8.0,4.0909090909
27.0,3.2777777778,9.0,3.5454545455
27.0,4.0555555556,8.0,4.3636363636
27.0,4.1666666667,9.0,4.0
27.0,4.2222222222,9.0,3.6363636364
27.0,2.9444444444,8.0,4.2727272727
27.0,3.4444444444,11.0,3.2727272727
27.0,3.3333333333,9.0,3.7272727273
27.0,3.0,9.0,3.3636363636
27.0,4.4444444444,10.0,4.5454545455
27.0,3.8888888889,8.0,3.7272727273
27.0,3.6111111111,10.0,3.7272727273
27.0,3.4444444444,11.0,3.6666666667
27.0,2.7777777778,10.0,3.4545454545
27.0,2.8333333333,10.0,3.0909090909
27.0,2.3888888889,10.0,2.6363636364
27.0,4.0,9.0,3.3636363636
27.0,3.5,12.0,4.1818181818
27.0,3.4444444444,10.0,2.3333333333
27.0,4.6111111111,9.0,3.8181818182
27.0,3.5,8.0,3.9090909091
27.0,3.0555555556,8.0,3.3636363636
27.0,3.0555555556,10.0,4.0
27.0,3.8333333333,8.0,3.6363636364
27.0,4.2777777778,10.0,3.8181818182
27.0,2.5,8.0,3.8181818182
27.0,3.2222222222,10.0,3.3636363636
27.0,4.3333333333,11.0,4.0
27.0,2.8333333333,10.0,3.5
27.0,2.7058823529,10.0,3.6
27.0,3.0555555556,10.0,2.7272727273
27.0,2.8888888889,11.0,2.6666666667
27.0,2.8333333333,8.0,3.8
28.0,3.3888888889,12.0,3.6666666667
28.0,3.5555555556,12.0,3.3333333333
28.0,4.4444444444,12.0,4.0
28.0,4.0,12.0,4.1666666667
28.0,3.3888888889,12.0,4.1818181818
28.0,2.6666666667,9.0,2.9090909091
28.0,1.0555555556,10.0,1.7272727273
28.0,2.7777777778,12.0,2.0909090909
28.0,0.5,12.0,1.0
28.0,4.5555555556,8.0,3.5
28.0,3.5555555556,11.0,2.8181818182
28.0,2.3333333333,8.0,3.0
28.0,3.6666666667,12.0,3.6666666667
28.0,3.7777777778,13.0,2.3333333333
28.0,2.0555555556,12.0,2.4545454545
28.0,1.8888888889,8.0,3.1818181818
28.0,2.7222222222,9.0,3.6666666667
28.0,2.2777777778,12.0,2.1818181818
28.0,3.0,15.0,4.0909090909
28.0,3.3333333333,10.0,3.2727272727
28.0,2.7222222222,14.0,3.3333333333
28.0,1.6666666667,9.0,2.4545454545
28.0,3.8333333333,12.0,4.4545454545
28.0,3.7777777778,10.0,3.8333333333
28.0,2.5,10.0,3.8181818182
28.0,4.0555555556,10.0,2.0
28.0,3.2941176471,18.0,4.5
28.0,2.8333333333,12.0,3.0909090909
28.0,3.5555555556,18.0,2.8181818182
28.0,3.6111111111,12.0,3.6666666667
28.0,0.6666666667,14.0,3.0
28.0,3.5294117647,8.0,3.9090909091
28.0,3.8823529412,13.0,3.8181818182
28.0,0.2777777778,13.0,3.8333333333
29.0,2.8333333333,12.0,2.0909090909
29.0,3.3333333333,12.0,2.1818181818
29.0,3.1111111111,12.0,2.7272727273
29.0,2.7222222222,13.0,2.5454545455
29.0,1.5555555556,10.0,2.6666666667
29.0,3.0,12.0,1.8181818182
29.0,3.3888888889,8.0,2.1818181818
29.0,2.5,12.0,2.6363636364
29.0,2.9444444444,11.0,1.4545454545
29.0,3.4444444444,10.0,1.1818181818
29.0,2.1666666667,13.0,1.4545454545
29.0,4.0,13.0,3.7272727273
29.0,2.0555555556,13.0,2.0909090909
29.0,2.0555555556,12.0,2.7272727273
29.0,2.9444444444,9.0,2.8181818182
29.0,3.7777777778,12.0,1.0909090909
29.0,3.3333333333,13.0,1.7272727273
29.0,3.6111111111,12.0,3.0909090909
29.0,2.0,11.0,1.7272727273
29.0,3.8888888889,12.0,3.6
29.0,2.3888888889,9.0,3.3333333333
29.0,2.8888888889,12.0,3.6666666667
29.0,4.3888888889,12.0,2.9090909091
29.0,2.5,12.0,2.6363636364
29.0,3.3888888889,11.0,3.6363636364
29.0,3.3888888889,12.0,3.3636363636
29.0,3.6666666667,12.0,3.8181818182
29.0,2.2222222222,14.0,2.6363636364
29.0,1.2777777778,12.0,1.4545454545
29.0,3.6111111111,10.0,1.7272727273
29.0,2.2666666667,9.0,1.0
29.0,3.7222222222,13.0,3.0
29.0,3.1111111111,12.0,3.0
29.0,2.5555555556,11.0,1.4545454545
29.0,1.7222222222,10.0,2.4545454545
29.0,4.1111111111,8.0,3.0
29.0,2.2777777778,10.0,3.0
29.0,2.2222222222,12.0,3.1818181818
29.0,2.3888888889,12.0,2.9
29.0,4.2777777778,12.0,3.0
29.0,2.5,10.0,3.3636363636
29.0,3.4444444444,11.0,1.8333333333
29.0,2.5555555556,16.0,2.8333333333
29.0,3.5,14.0,2.5
29.0,1.8333333333,10.0,1.6666666667
29.0,2.2222222222,12.0,3.2
29.0,2.7222222222,12.0,2.7272727273
29.0,2.8333333333,14.0,3.0
29.0,4.1111111111,9.0,3.4545454545
29.0,3.0555555556,12.0,2.3333333333
29.0,4.8333333333,11.0,3.0
29.0,4.1111111111,10.0,2.5454545455
29.0,2.1111111111,14.0,2.4545454545
29.0,2.7222222222,9.0,3.2727272727
29.0,3.3888888889,13.0,3.7272727273
29.0,3.5555555556,10.0,4.0
29.0,3.0555555556,8.0,2.2727272727
29.0,3.1111111111,16.0,3.2727272727
30.0,4.0555555556,12.0,4.0
30.0,2.5555555556,14.0,2.1818181818
30.0,3.4444444444,10.0,1.2727272727
30.0,1.5555555556,15.0,1.0
30.0,2.1111111111,12.0,2.6363636364
30.0,1.2777777778,13.0,2.8333333333
30.0,2.6666666667,17.0,2.5454545455
30.0,2.5,12.0,3.6363636364
30.0,3.0588235294,14.0,2.4545454545
30.0,2.5882352941,10.0,3.0909090909
30.0,2.8888888889,18.0,3.0
30.0,4.2222222222,10.0,3.0
30.0,3.5,11.0,3.4545454545
30.0,2.4444444444,16.0,2.5
30.0,3.4444444444,18.0,3.5454545455
30.0,3.6666666667,12.0,2.4545454545
30.0,3.2777777778,10.0,2.6666666667
30.0,2.8888888889,10.0,1.5454545455
30.0,2.5555555556,12.0,2.0
30.0,4.1111111111,13.0,3.5
30.0,1.7777777778,14.0,2.3333333333
30.0,1.0,12.0,1.9090909091
30.0,3.8333333333,12.0,2.6363636364
30.0,2.4444444444,16.0,3.0
30.0,2.1666666667,9.0,2.9090909091
30.0,1.3333333333,10.0,1.7272727273
30.0,1.8888888889,12.0,1.5
30.0,2.1111111111,16.0,2.4545454545
30.0,3.6666666667,13.0,2.9090909091
30.0,1.8888888889,14.0,1.8181818182
30.0,3.1111111111,10.0,2.3636363636
30.0,3.7777777778,23.0,2.25
30.0,2.3888888889,16.0,2.9090909091
30.0,3.6666666667,9.0,2.0909090909
30.0,3.4444444444,12.0,1.9090909091
31.0,3.5555555556,8.0,4.5454545455
31.0,3.5882352941,14.0,3.1666666667
31.0,3.7222222222,14.0,1.7272727273
31.0,2.9444444444,15.0,3.4545454545
31.0,3.8888888889,8.0,3.5
31.0,3.0555555556,12.0,3.7272727273
31.0,3.1666666667,14.0,3.0
31.0,1.9444444444,18.0,2.7272727273
31.0,2.1666666667,11.0,2.4545454545
31.0,1.7222222222,10.0,2.1818181818
31.0,3.7222222222,13.0,4.0
31.0,2.2777777778,13.0,3.1818181818
31.0,2.5555555556,13.0,3.5
31.0,4.0,12.0,3.4545454545
31.0,2.9444444444,15.0,2.5454545455
31.0,1.6666666667,11.0,1.8333333333
31.0,1.3888888889,16.0,3.0
31.0,2.7222222222,10.0,2.6363636364
31.0,2.5,14.0,2.6666666667
31.0,2.1666666667,14.0,3.0
31.0,3.9444444444,10.0,5.0
31.0,3.4444444444,9.0,3.0909090909
31.0,3.1111111111,9.0,3.0
31.0,4.5555555556,10.0,4.0909090909
31.0,1.6470588235,10.0,3.8333333333
31.0,2.9444444444,10.0,2.9090909091
31.0,2.9444444444,11.0,2.9090909091
31.0,3.0555555556,11.0,3.3333333333
31.0,2.1666666667,12.0,2.3333333333
31.0,4.1111111111,10.0,4.1666666667
31.0,2.5555555556,12.0,3.4545454545
31.0,2.3888888889,14.0,2.6666666667
31.0,2.2777777778,9.0,3.1818181818
31.0,2.0,9.0,4.0
31.0,1.5555555556,12.0,3.0
31.0,4.0555555556,11.0,2.0909090909
31.0,1.4444444444,12.0,2.5454545455
31.0,3.1666666667,12.0,4.8181818182
31.0,2.7222222222,9.0,3.5
31.0,1.6666666667,12.0,3.0
31.0,2.2222222222,10.0,3.5454545455
31.0,2.7777777778,12.0,2.8
32.0,2.6111111111,8.0,2.3636363636
32.0,3.3888888889,13.0,3.0909090909
32.0,3.5882352941,8.0,3.5555555556
32.0,3.6111111111,8.0,3.8333333333
32.0,3.1666666667,11.0,3.6363636364
32.0,3.5,10.0,3.6363636364
32.0,4.6111111111,10.0,4.1818181818
32.0,3.4444444444,12.0,3.6666666667
32.0,1.4444444444,12.0,2.9090909091
32.0,4.0555555556,10.0,3.8181818182
32.0,3.6666666667,14.0,3.3333333333
32.0,3.5,12.0,3.0909090909
32.0,3.1666666667,11.0,3.0909090909
32.0,3.4444444444,11.0,3.3333333333
32.0,3.0,10.0,2.8333333333
32.0,2.6666666667,11.0,3.0
32.0,4.5,10.0,4.7272727273
32.0,2.5555555556,12.0,2.8
32.0,2.6111111111,11.0,2.3636363636
32.0,2.7222222222,11.0,3.2727272727
32.0,4.3888888889,10.0,3.0
32.0,1.8888888889,10.0,2.8181818182
32.0,2.0555555556,12.0,2.2727272727
32.0,0.6111111111,14.0,2.4545454545
32.0,3.6666666667,12.0,3.6363636364
32.0,3.5555555556,13.0,1.5454545455
32.0,3.5555555556,11.0,3.8181818182
32.0,4.7222222222,11.0,3.5454545455
32.0,2.7777777778,12.0,2.8333333333
32.0,2.3333333333,10.0,2.8333333333
32.0,4.2222222222,13.0,3.6666666667
32.0,1.9444444444,12.0,1.9090909091
32.0,3.3333333333,12.0,2.5
32.0,3.3888888889,8.0,3.0909090909
32.0,0.8823529412,13.0,1.5454545455
32.0,1.3888888889,13.0,2.4545454545
32.0,2.7777777778,12.0,3.0909090909
32.0,3.9444444444,12.0,3.0909090909
32.0,2.7777777778,14.0,2.7272727273
32.0,3.4444444444,12.0,3.6363636364
32.0,3.1111111111,14.0,3.0909090909
32.0,3.4444444444,13.0,2.9090909091
32.0,2.8333333333,12.0,3.2
32.0,3.1666666667,14.0,2.9090909091
32.0,2.6111111111,10.0,3.6363636364
32.0,1.8888888889,14.0,3.6666666667
32.0,2.5555555556,11.0,1.4545454545
32.0,2.2222222222,12.0,2.8181818182
33.0,2.8888888889,10.0,3.0
33.0,3.2777777778,11.0,3.1666666667
33.0,1.5882352941,10.0,2.1818181818
33.0,3.3333333333,11.0,3.6363636364
33.0,4.7222222222,11.0,3.6363636364
33.0,3.7222222222,9.0,3.6363636364
33.0,3.4444444444,9.0,3.6363636364
33.0,2.5555555556,12.0,3.0909090909
33.0,2.5,11.0,3.0
33.0,3.3333333333,10.0,3.5454545455
33.0,2.3333333333,10.0,3.8181818182
33.0,1.4444444444,12.0,4.4545454545
33.0,4.1111111111,9.0,4.0909090909
33.0,2.4444444444,12.0,3.5
33.0,4.1666666667,12.0,2.9090909091
33.0,3.2222222222,11.0,3.5454545455
33.0,2.8333333333,10.0,3.0
33.0,2.5,11.0,2.8181818182
33.0,2.1111111111,11.0,2.5454545455
33.0,3.5,10.0,2.9090909091
33.0,4.9444444444,10.0,4.5
33.0,3.3333333333,10.0,3.1666666667
33.0,4.0,11.0,2.2727272727
33.0,1.5,11.0,3.2727272727
33.0,3.5,11.0,3.6666666667
33.0,3.5555555556,12.0,2.9090909091
33.0,2.6111111111,11.0,2.8181818182
33.0,3.7777777778,11.0,2.9090909091
33.0,2.5555555556,11.0,2.8181818182
33.0,3.8888888889,13.0,2.8333333333
33.0,2.9444444444,11.0,4.0
34.0,2.8235294118,12.0,3.0
34.0,1.8333333333,10.0,3.3636363636
34.0,2.7777777778,13.0,2.7272727273
34.0,2.8333333333,11.0,3.0909090909
34.0,2.6666666667,12.0,1.4545454545
34.0,3.9444444444,12.0,4.5454545455
34.0,3.6666666667,12.0,4.5
34.0,3.0,11.0,2.5454545455
34.0,2.6666666667,9.0,3.1818181818
34.0,4.1666666667,14.0,4.5454545455
34.0,3.6111111111,12.0,2.1818181818
34.0,2.2777777778,12.0,3.0
34.0,2.9444444444,12.0,3.5454545455
34.0,1.9444444444,14.0,2.7272727273
34.0,2.0,12.0,2.3636363636
34.0,2.1666666667,9.0,1.7272727273
34.0,2.5555555556,9.0,2.2727272727
34.0,3.7222222222,14.0,3.0909090909
34.0,3.1666666667,12.0,2.0
34.0,4.0555555556,9.0,3.8181818182
34.0,2.6111111111,12.0,2.5454545455
34.0,1.4444444444,11.0,3.0909090909
34.0,1.5555555556,13.0,3.0
34.0,2.7777777778,11.0,2.5454545455
34.0,3.4444444444,12.0,3.2727272727
34.0,2.2222222222,12.0,3.5454545455
34.0,2.4444444444,6.0,3.4545454545
34.0,0.9444444444,11.0,2.6363636364
34.0,1.4444444444,14.0,3.9090909091
34.0,3.1666666667,8.0,1.8181818182
34.0,3.3333333333,13.0,2.8333333333
34.0,2.4444444444,12.0,2.4545454545
34.0,2.3888888889,12.0,2.5454545455
34.0,2.1111111111,12.0,2.9090909091
34.0,2.1666666667,12.0,3.1818181818
34.0,3.4444444444,9.0,4.0
34.0,2.2222222222,12.0,3.2727272727
34.0,1.7222222222,14.0,2.7272727273
34.0,2.8333333333,12.0,3.9
34.0,2.3333333333,12.0,2.5454545455
34.0,2.7777777778,12.0,2.3636363636
34.0,1.7222222222,12.0,3.0
34.0,0.8888888889,10.0,1.7272727273
34.0,1.4444444444,10.0,3.0
34.0,4.5,10.0,4.4545454545
34.0,3.0555555556,13.0,1.6363636364
34.0,2.1111111111,12.0,2.9090909091
34.0,2.6666666667,12.0,2.6363636364
34.0,3.2777777778,11.0,2.8181818182
34.0,3.3888888889,12.0,3.1666666667
34.0,2.5,12.0,2.3636363636
34.0,1.8333333333,12.0,2.6363636364
34.0,2.2777777778,16.0,2.3636363636
34.0,4.7777777778,10.0,3.3636363636
34.0,2.8888888889,12.0,3.1818181818
34.0,1.7222222222,13.0,3.1818181818
34.0,3.1666666667,12.0,3.8181818182
34.0,2.8333333333,8.0,1.5454545455
34.0,2.6666666667,13.0,2.9090909091
34.0,1.4444444444,10.0,2.4444444444
34.0,3.5,12.0,3.4545454545
34.0,2.5,10.0,3.7272727273
34.0,2.9444444444,12.0,3.0
34.0,3.0555555556,12.0,3.2
34.0,3.4444444444,14.0,2.5555555556
34.0,2.6111111111,12.0,3.3
34.0,3.9444444444,12.0,3.8181818182
34.0,4.1111111111,11.0,1.7272727273
34.0,2.2222222222,13.0,2.7
34.0,2.9444444444,14.0,2.2727272727
34.0,2.2222222222,10.0,2.1818181818
34.0,2.8888888889,12.0,4.1818181818
34.0,3.3333333333,9.0,3.8333333333
34.0,2.3333333333,12.0,3.0
34.0,2.0555555556,14.0,2.8333333333
34.0,2.0555555556,13.0,2.6363636364
34.0,3.3888888889,13.0,3.1666666667
34.0,2.8333333333,12.0,2.6363636364
34.0,2.9444444444,12.0,3.1818181818
34.0,3.0555555556,12.0,3.0
34.0,2.9444444444,11.0,3.7272727273
34.0,2.6111111111,12.0,3.7272727273
34.0,2.7222222222,12.0,3.2727272727
34.0,3.5555555556,10.0,3.0909090909
34.0,1.2222222222,12.0,1.9090909091
34.0,3.5,11.0,5.0
34.0,2.5,16.0,3.5454545455
34.0,1.7777777778,12.0,2.3333333333
34.0,3.6666666667,10.0,3.2
34.0,1.7222222222,11.0,2.9090909091
34.0,1.3333333333,11.0,2.4545454545
34.0,1.6666666667,13.0,2.1818181818
34.0,1.3333333333,14.0,2.1111111111
34.0,2.8888888889,10.0,3.3636363636
34.0,2.2777777778,10.0,2.6363636364
34.0,2.5,12.0,2.2727272727
34.0,2.2222222222,10.0,2.5454545455
34.0,1.4444444444,12.0,2.3636363636
34.0,2.8333333333,12.0,2.4545454545
35.0,2.9444444444,12.0,2.5454545455
35.0,4.1666666667,8.0,3.5454545455
35.0,2.0555555556,14.0,3.1666666667
35.0,3.1111111111,14.0,4.2727272727
35.0,0.5,12.0,1.7272727273
35.0,2.8888888889,24.0,2.3636363636
35.0,1.6666666667,13.0,2.8181818182
35.0,0.1666666667,13.0,2.0
35.0,2.6666666667,16.0,4.0909090909
35.0,0.6666666667,24.0,3.2727272727
35.0,2.4444444444,14.0,3.8181818182
35.0,2.6111111111,14.0,3.6
35.0,3.3333333333,13.0,2.8333333333
35.0,2.3888888889,12.0,3.5454545455
35.0,2.5555555556,12.0,2.9090909091
35.0,3.0555555556,12.0,3.8181818182
35.0,3.8888888889,12.0,3.6363636364
35.0,3.3333333333,12.0,2.8181818182
35.0,2.1111111111,20.0,2.2727272727
35.0,3.0,11.0,3.5454545455
35.0,2.1111111111,14.0,3.5454545455
35.0,2.8333333333,12.0,3.3636363636
35.0,0.7222222222,19.0,2.7272727273
35.0,2.8333333333,10.0,3.4545454545
35.0,1.5,13.0,2.4545454545
35.0,1.6111111111,14.0,2.7272727273
35.0,3.0,9.0,3.7272727273
35.0,3.7222222222,10.0,3.0909090909
35.0,3.7777777778,12.0,4.0909090909
35.0,4.1111111111,14.0,3.0
35.0,1.6111111111,13.0,3.5454545455
35.0,2.0,13.0,3.0
35.0,2.8333333333,13.0,3.0909090909
35.0,2.5555555556,12.0,3.3636363636
35.0,2.6111111111,14.0,3.0
35.0,3.0,14.0,3.6363636364
35.0,3.0555555556,18.0,3.9090909091
35.0,3.3888888889,13.0,3.1818181818
35.0,1.7222222222,12.0,1.8181818182
35.0,3.3333333333,12.0,3.2727272727
35.0,2.3888888889,14.0,2.8181818182
35.0,2.9444444444,13.0,4.0
35.0,3.8888888889,14.0,2.0909090909
35.0,2.7777777778,14.0,2.2727272727
35.0,3.0,15.0,3.6363636364
35.0,3.6666666667,12.0,2.9090909091
35.0,3.5,14.0,2.1818181818
35.0,2.1111111111,12.0,2.7272727273
35.0,2.8333333333,12.0,2.0909090909
35.0,3.3333333333,12.0,2.6363636364
35.0,3.8461538462,12.0,2.6363636364
35.0,3.2222222222,18.0,2.0909090909
35.0,2.3333333333,12.0,2.1818181818
35.0,4.0,12.0,2.7272727273
35.0,3.0,12.0,2.0
35.0,2.5,12.0,1.1818181818
35.0,3.6666666667,13.0,3.3636363636
35.0,2.9444444444,13.0,2.8181818182
35.0,2.8888888889,11.0,3.3333333333
35.0,1.8888888889,15.0,3.3333333333
35.0,1.5555555556,16.0,1.9090909091
35.0,1.8333333333,12.0,3.0909090909
35.0,1.7222222222,12.0,2.6363636364
35.0,1.5555555556,13.0,2.2727272727
35.0,3.2222222222,12.0,3.3636363636
35.0,3.2777777778,12.0,2.9090909091
35.0,1.6111111111,12.0,3.0
35.0,3.6666666667,12.0,3.1818181818
35.0,2.7777777778,12.0,3.5454545455
35.0,1.3888888889,24.0,1.3636363636
35.0,3.5,11.0,1.1818181818
35.0,2.3333333333,12.0,3.7272727273
35.0,4.1111111111,12.0,3.2727272727
35.0,2.7222222222,12.0,2.3636363636
35.0,3.6111111111,12.0,3.9090909091
35.0,2.3333333333,12.0,3.6363636364
35.0,1.8333333333,12.0,1.9090909091
35.0,2.4444444444,13.0,2.9090909091
35.0,4.0,12.0,3.1818181818
35.0,1.0,12.0,2.0909090909
35.0,3.4444444444,8.0,2.9090909091
35.0,2.5,11.0,3.6363636364
35.0,3.1666666667,12.0,2.1818181818
35.0,0.0,10.0,1.8181818182
35.0,1.0,16.0,3.0909090909
35.0,2.1111111111,11.0,2.2727272727
35.0,3.5,15.0,2.3333333333
35.0,0.1666666667,12.0,1.0
35.0,3.0,14.0,4.0
35.0,3.3333333333,12.0,3.5454545455
35.0,2.5,13.0,3.0
35.0,1.8333333333,16.0,3.0909090909
36.0,2.0555555556,12.0,3.0
36.0,3.5555555556,11.0,3.3636363636
36.0,3.0,10.0,3.3636363636
36.0,3.2222222222,14.0,3.1818181818
36.0,2.6666666667,13.0,2.7272727273
36.0,2.6666666667,12.0,3.0
36.0,3.7222222222,12.0,3.3636363636
36.0,3.7777777778,10.0,4.6363636364
36.0,2.1111111111,10.0,2.8181818182
36.0,3.8333333333,14.0,3.0909090909
36.0,3.8333333333,8.0,3.4545454545
36.0,4.2777777778,9.0,4.0909090909
36.0,2.7777777778,12.0,2.9090909091
36.0,2.5,18.0,3.1
36.0,3.5,12.0,2.8333333333
36.0,2.4444444444,12.0,2.7272727273
36.0,3.2777777778,14.0,3.6666666667
36.0,1.1666666667,12.0,2.4545454545
36.0,2.5,14.0,1.9090909091
36.0,3.2222222222,14.0,3.4545454545
36.0,4.0,12.0,3.0
36.0,3.3888888889,9.0,3.7272727273
36.0,3.7222222222,10.0,3.0909090909
36.0,3.7222222222,13.0,4.0
36.0,4.4444444444,15.0,3.5
36.0,0.3888888889,11.0,2.6666666667
36.0,1.1111111111,15.0,2.3636363636
36.0,4.2777777778,13.0,2.3333333333
36.0,3.0555555556,13.0,4.0
36.0,4.0,11.0,4.0
36.0,3.7222222222,13.0,2.6666666667
36.0,1.9444444444,12.0,3.4545454545
36.0,3.2777777778,13.0,4.0909090909
36.0,3.5555555556,12.0,3.8333333333
36.0,3.0555555556,15.0,4.0
36.0,0.9444444444,10.0,2.2727272727
36.0,2.4444444444,15.0,3.0
36.0,3.5,9.0,3.0909090909
36.0,2.7222222222,13.0,2.7272727273
36.0,3.8333333333,10.0,4.0909090909
36.0,1.8333333333,10.0,3.0
36.0,1.1111111111,10.0,2.4545454545
36.0,4.2222222222,11.0,4.2727272727
36.0,4.3333333333,12.0,4.1818181818
36.0,3.3888888889,12.0,2.8333333333
36.0,2.4444444444,10.0,1.4545454545
36.0,2.6111111111,15.0,3.1818181818
36.0,2.8888888889,12.0,3.8181818182
36.0,2.6666666667,10.0,3.7272727273
36.0,4.1666666667,13.0,3.1818181818
36.0,2.1176470588,13.0,2.0909090909
36.0,2.3333333333,12.0,4.3333333333
36.0,3.8888888889,9.0,4.2727272727
36.0,2.4444444444,14.0,3.6
36.0,1.9444444444,13.0,3.0909090909
36.0,2.4285714286,11.0,2.7272727273
36.0,2.8333333333,12.0,2.3636363636
36.0,2.0555555556,14.0,1.8181818182
36.0,2.7222222222,12.0,2.7272727273
36.0,3.0555555556,10.0,1.4545454545
36.0,2.7777777778,16.0,4.0
36.0,2.3888888889,12.0,3.8333333333
36.0,4.5555555556,13.0,3.0
36.0,1.3888888889,9.0,1.9090909091
36.0,2.4117647059,10.0,3.5
36.0,2.5,12.0,3.8181818182
36.0,2.0555555556,14.0,3.1666666667
36.0,3.2222222222,12.0,3.1818181818
36.0,5.0,8.0,5.0
36.0,3.9444444444,14.0,3.7
36.0,2.1764705882,19.0,2.8333333333
36.0,1.3888888889,13.0,3.5
36.0,3.1666666667,14.0,2.6666666667
36.0,1.7222222222,14.0,1.5454545455
36.0,2.7777777778,12.0,2.5454545455
36.0,3.1666666667,12.0,4.0
36.0,1.3888888889,13.0,3.3636363636
36.0,2.6666666667,12.0,2.7272727273
36.0,4.1666666667,10.0,3.2727272727
36.0,3.1111111111,10.0,3.7272727273
36.0,3.4117647059,12.0,4.0
36.0,2.2222222222,13.0,3.2727272727
36.0,3.0,11.0,3.1818181818
36.0,2.0555555556,15.0,2.5
36.0,3.2222222222,10.0,3.1818181818
37.0,2.6111111111,14.0,4.0
37.0,3.5555555556,12.0,2.3333333333
37.0,3.5555555556,14.0,3.8181818182
37.0,2.8888888889,14.0,3.5454545455
37.0,3.6111111111,11.0,2.5454545455
37.0,3.0555555556,11.0,2.3636363636
37.0,1.8888888889,12.0,2.3
37.0,1.2777777778,15.0,1.8181818182
37.0,1.8333333333,24.0,3.0
37.0,3.7777777778,12.0,3.3333333333
37.0,0.3888888889,15.0,1.9090909091
37.0,0.7777777778,12.0,1.0
37.0,2.3888888889,12.0,2.3636363636
37.0,1.6666666667,10.0,2.1818181818
37.0,2.3333333333,13.0,2.6
37.0,2.2222222222,12.0,2.5454545455
37.0,1.9444444444,11.0,1.3636363636
37.0,3.3333333333,11.0,2.2727272727
37.0,3.7777777778,12.0,3.2727272727
37.0,3.1111111111,11.0,3.1818181818
37.0,2.5,12.0,1.5
37.0,2.4444444444,11.0,2.9090909091
37.0,1.7777777778,12.0,3.3636363636
37.0,1.7777777778,13.0,2.4545454545
37.0,1.6111111111,12.0,2.5454545455
37.0,3.0555555556,15.0,3.1818181818
37.0,3.0555555556,10.0,3.8181818182
37.0,1.5,12.0,2.5454545455
37.0,0.9444444444,10.0,2.9090909091
37.0,2.5555555556,11.0,2.3636363636
37.0,2.8333333333,11.0,4.2727272727
37.0,3.7222222222,11.0,3.1818181818
37.0,2.3888888889,12.0,3.0
37.0,3.2777777778,11.0,3.1818181818
37.0,2.7058823529,11.0,3.0909090909
37.0,2.2222222222,14.0,3.0
37.0,1.9444444444,13.0,1.9090909091
37.0,1.8333333333,14.0,1.0
37.0,2.0555555556,11.0,1.6363636364
37.0,3.1111111111,11.0,3.0909090909
37.0,3.5555555556,12.0,3.1818181818
37.0,3.0,11.0,2.6363636364
37.0,3.7222222222,12.0,3.8333333333
37.0,2.0,15.0,1.2727272727
37.0,1.6666666667,12.0,1.8181818182
37.0,2.0555555556,15.0,3.0
37.0,2.6666666667,12.0,3.0
37.0,3.2222222222,11.0,2.4545454545
37.0,3.2222222222,12.0,3.8333333333
38.0,2.3333333333,10.0,2.6363636364
38.0,2.9444444444,10.0,1.8181818182
38.0,3.6111111111,13.0,2.9090909091
38.0,4.7222222222,9.0,3.9090909091
38.0,2.0,11.0,1.9090909091
38.0,3.0555555556,11.0,2.3636363636
38.0,2.7222222222,10.0,2.0
38.0,4.8888888889,11.0,2.4545454545
38.0,2.6666666667,10.0,3.0
38.0,3.2222222222,12.0,1.0
38.0,2.3888888889,10.0,2.7272727273
